Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
112;A View to a Kill;James Bond 007 - Im Angesicht des Todes;1985;John Glen;Roger Moore, Tanya Roberts, Christopher Walken, Grace Jones, Patrick Macnee;UK, USA, Iceland, France;Nein;6,3;EON Productions;Abenteuer, Action, Thriller;$152,427,960;https://www.youtube.com/watch?v=pxQS8iAlr9w;https://www.youtube.com/watch?v=jiTCHKv4LN0;filmster://result?id=112;https://filmster.b-cdn.net/112/Filmster_112_DE_Video-1.mp4;https://filmster.b-cdn.net/112/Filmster_112_EN_Video-1.mp4;https://filmster.b-cdn.net/112/Filmster_112_DE_Video-2.mp4;https://filmster.b-cdn.net/112/Filmster_112_EN_Video-2.mp4;https://filmster.b-cdn.net/112/Filmster_112_DE_Video-3.mp4;https://filmster.b-cdn.net/112/Filmster_112_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_112_QR.png
113;The Living Daylights;James Bond 007 - Der Hauch des Todes;1987;John Glen;Timothy Dalton, Maryam d'Abo, Joe Don Baker, Art Malik, John Rhys-Davies;UK, USA;Nein;6,7;EON Productions;Action, Abenteuer, Thriller;$191,185,897;https://www.youtube.com/watch?v=IXAVKJTIM1E;https://www.youtube.com/watch?v=cp4NLFpSxfA;filmster://result?id=113;https://filmster.b-cdn.net/113/Filmster_113_DE_Video-1.mp4;https://filmster.b-cdn.net/113/Filmster_113_EN_Video-1.mp4;;https://filmster.b-cdn.net/113/Filmster_113_EN_Video-2.mp4;;https://filmster.b-cdn.net/113/Filmster_113_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_113_QR.png
114;Licence to Kill;James Bond 007 - Lizenz zum Töten;1989;John Glen;Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto, Anthony Zerbe;UK, USA, Mexico;Nein;6,7;EON Productions;Abenteuer, Action, Thriller;$156,167,015;https://www.youtube.com/watch?v=quHQAuO0lkg;https://www.youtube.com/watch?v=XMH_BG8YEdU;filmster://result?id=114;https://filmster.b-cdn.net/114/Filmster_114_DE_Video-1.mp4;https://filmster.b-cdn.net/114/Filmster_114_EN_Video-1.mp4;https://filmster.b-cdn.net/114/Filmster_114_DE_Video-2.mp4;https://filmster.b-cdn.net/114/Filmster_114_EN_Video-2.mp4;https://filmster.b-cdn.net/114/Filmster_114_DE_Video-3.mp4;https://filmster.b-cdn.net/114/Filmster_114_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_114_QR.png
115;GoldenEye;James Bond 007 - GoldenEye;1995;Martin Campbell;Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker;UK, USA, Russia;Nein;7,2;EON Productions;Abenteuer, Action, Thriller;$352,194,034;https://www.youtube.com/watch?v=8Zw8ylP4buA;https://www.youtube.com/watch?v=o9TUphCk-4E;filmster://result?id=115;https://filmster.b-cdn.net/115/Filmster_115_DE_Video-1.mp4;https://filmster.b-cdn.net/115/Filmster_115_EN_Video-1.mp4;https://filmster.b-cdn.net/115/Filmster_115_DE_Video-2.mp4;https://filmster.b-cdn.net/115/Filmster_115_EN_Video-2.mp4;https://filmster.b-cdn.net/115/Filmster_115_DE_Video-3.mp4;https://filmster.b-cdn.net/115/Filmster_115_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_115_QR.png
116;Tomorrow Never Dies;James Bond 007 - Der Morgen stirbt nie;1997;Roger Spottiswoode;Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Ricky Jay;UK, USA, Spain;Nein;6,5;EON Productions;Abenteuer, Action, Thriller;$333,011,068;https://www.youtube.com/watch?v=eqrk7-mx2D0;https://www.youtube.com/watch?v=s6DuhOM2OTM;filmster://result?id=116;https://filmster.b-cdn.net/116/Filmster_116_DE_Video-1.mp4;https://filmster.b-cdn.net/116/Filmster_116_EN_Video-1.mp4;https://filmster.b-cdn.net/116/Filmster_116_DE_Video-2.mp4;https://filmster.b-cdn.net/116/Filmster_116_EN_Video-2.mp4;https://filmster.b-cdn.net/116/Filmster_116_DE_Video-3.mp4;https://filmster.b-cdn.net/116/Filmster_116_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_116_QR.png
117;The World Is Not Enough;James Bond 007 - Die Welt ist nicht genug;1999;Michael Apted;Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards, Robbie Coltrane;UK, USA, Spain;Nein;6,4;EON Productions;Abenteuer, Action, Thriller;$361,832,400;https://www.youtube.com/watch?v=9nH1DwQP2Xs;https://www.youtube.com/watch?v=Lu6pmiuhn3I;filmster://result?id=117;https://filmster.b-cdn.net/117/Filmster_117_DE_Video-1.mp4;https://filmster.b-cdn.net/117/Filmster_117_EN_Video-1.mp4;https://filmster.b-cdn.net/117/Filmster_117_DE_Video-2.mp4;https://filmster.b-cdn.net/117/Filmster_117_EN_Video-2.mp4;https://filmster.b-cdn.net/117/Filmster_117_DE_Video-3.mp4;https://filmster.b-cdn.net/117/Filmster_117_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_117_QR.png
118;Die Another Day;James Bond 007 - Stirb an einem anderen Tag;2002;Lee Tamahori;Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike, Rick Yune;UK, USA;Nein;6,1;EON Productions;Abenteuer, Action, Thriller;$431,971,116;https://www.youtube.com/watch?v=GTznf1x4khc;https://www.youtube.com/watch?v=q_YnTj9bEMo;filmster://result?id=118;https://filmster.b-cdn.net/118/Filmster_118_DE_Video-1.mp4;https://filmster.b-cdn.net/118/Filmster_118_EN_Video-1.mp4;https://filmster.b-cdn.net/118/Filmster_118_DE_Video-2.mp4;https://filmster.b-cdn.net/118/Filmster_118_EN_Video-2.mp4;https://filmster.b-cdn.net/118/Filmster_118_DE_Video-3.mp4;https://filmster.b-cdn.net/118/Filmster_118_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_118_QR.png
119;Casino Royale;James Bond 007 - Casino Royale;2006;Martin Campbell;Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright;USA, UK, Czech Republic, Germany, Bahamas, Italy;Ja;8;Metro-Goldwyn-Mayer;Abenteuer, Action, Thriller;$599,045,960;https://www.youtube.com/watch?v=36mnx8dBbGE;https://www.youtube.com/watch?v=lP2uI622_Gc;filmster://result?id=119;https://filmster.b-cdn.net/119/Filmster_119_DE_Video-1.mp4;https://filmster.b-cdn.net/119/Filmster_119_EN_Video-1.mp4;https://filmster.b-cdn.net/119/Filmster_119_DE_Video-2.mp4;https://filmster.b-cdn.net/119/Filmster_119_EN_Video-2.mp4;https://filmster.b-cdn.net/119/Filmster_119_DE_Video-3.mp4;https://filmster.b-cdn.net/119/Filmster_119_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_119_QR.png
120;Quantum of Solace;James Bond 007 - Ein Quantum Trost;2008;Marc Forster;Daniel Craig, Ольга Куриленко, Mathieu Amalric, Judi Dench, Giancarlo Giannini;UK, USA, Italy;Nein;6,5;EON Productions;Abenteuer, Action, Thriller, Krimi;$589,593,688;https://www.youtube.com/watch?v=BBqYaFEWBxI;https://www.youtube.com/watch?v=xbeBbFFWmfg;filmster://result?id=120;https://filmster.b-cdn.net/120/Filmster_120_DE_Video-1.mp4;https://filmster.b-cdn.net/120/Filmster_120_EN_Video-1.mp4;https://filmster.b-cdn.net/120/Filmster_120_DE_Video-2.mp4;https://filmster.b-cdn.net/120/Filmster_120_EN_Video-2.mp4;https://filmster.b-cdn.net/120/Filmster_120_DE_Video-3.mp4;https://filmster.b-cdn.net/120/Filmster_120_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_120_QR.png
121;No Time to Die;James Bond 007 - Keine Zeit zu sterben;2021;Cary Joji Fukunaga;Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes;UK, USA;Nein;7,3;EON Productions;Action, Thriller, Abenteuer;$774,153,024;https://www.youtube.com/watch?v=BIhNsAtPbPI;https://www.youtube.com/watch?v=jE-LhbK4Ug4;filmster://result?id=121;https://filmster.b-cdn.net/121/Filmster_121_DE_Video-1.mp4;https://filmster.b-cdn.net/121/Filmster_121_EN_Video-1.mp4;https://filmster.b-cdn.net/121/Filmster_121_DE_Video-2.mp4;https://filmster.b-cdn.net/121/Filmster_121_EN_Video-2.mp4;https://filmster.b-cdn.net/121/Filmster_121_DE_Video-3.mp4;https://filmster.b-cdn.net/121/Filmster_121_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_121_QR.png
122;The Hobbit: An Unexpected Journey;Der Hobbit - Eine unerwartete Reise;2012;Peter Jackson;Martin Freeman, Ian McKellen, Richard Armitage, James Nesbitt, Ken Stott;New Zealand, USA;Nein;7,8;New Line Cinema;Abenteuer, Fantasy, Action;$1,021,103,568;https://www.youtube.com/watch?v=SDnYMbYB-nU;https://www.youtube.com/watch?v=yBubg0Ri_wA;filmster://result?id=122;https://filmster.b-cdn.net/122/Filmster_122_DE_Video-1.mp4;https://filmster.b-cdn.net/122/Filmster_122_EN_Video-1.mp4;https://filmster.b-cdn.net/122/Filmster_122_DE_Video-2.mp4;https://filmster.b-cdn.net/122/Filmster_122_EN_Video-2.mp4;https://filmster.b-cdn.net/122/Filmster_122_DE_Video-3.mp4;https://filmster.b-cdn.net/122/Filmster_122_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_122_QR.png
123;The Hobbit: The Desolation of Smaug;Der Hobbit - Smaugs Einöde;2013;Peter Jackson;Ian McKellen, Martin Freeman, Richard Armitage, Benedict Cumberbatch, Orlando Bloom;New Zealand, USA;Nein;7,8;New Line Cinema;Fantasy, Abenteuer, Action;$958,400,000;https://www.youtube.com/watch?v=fnaojlfdUbs;https://www.youtube.com/watch?v=wmmTIRAg5K0;filmster://result?id=123;https://filmster.b-cdn.net/123/Filmster_123_DE_Video-1.mp4;https://filmster.b-cdn.net/123/Filmster_123_EN_Video-1.mp4;https://filmster.b-cdn.net/123/Filmster_123_DE_Video-2.mp4;https://filmster.b-cdn.net/123/Filmster_123_EN_Video-2.mp4;https://filmster.b-cdn.net/123/Filmster_123_DE_Video-3.mp4;https://filmster.b-cdn.net/123/Filmster_123_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_123_QR.png
124;The Hobbit: The Battle of the Five Armies;Der Hobbit - Die Schlacht der fünf Heere;2014;Peter Jackson;Ian McKellen, Martin Freeman, Richard Armitage, Orlando Bloom, Evangeline Lilly;New Zealand, USA;Nein;7,4;New Line Cinema;Action, Abenteuer, Fantasy;$956,019,788;https://www.youtube.com/watch?v=iVAgTiBrrDA;https://www.youtube.com/watch?v=zN9QEdmIk9M;filmster://result?id=124;https://filmster.b-cdn.net/124/Filmster_124_DE_Video-1.mp4;https://filmster.b-cdn.net/124/Filmster_124_EN_Video-1.mp4;https://filmster.b-cdn.net/124/Filmster_124_DE_Video-2.mp4;https://filmster.b-cdn.net/124/Filmster_124_EN_Video-2.mp4;https://filmster.b-cdn.net/124/Filmster_124_DE_Video-3.mp4;https://filmster.b-cdn.net/124/Filmster_124_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_124_QR.png
125;Star Wars: Episode II , Attack of the Clones;Star Wars: Episode II - Angriff der Klonkrieger;2002;George Lucas;Hayden Christensen, Ewan McGregor, Natalie Portman, Christopher Lee, Samuel L. Jackson;USA, UK;Nein;6,6;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$649,398,328;https://www.youtube.com/watch?v=gYbW1F_c9eM;https://www.youtube.com/watch?v=Qc53VFfnD4g;filmster://result?id=125;https://filmster.b-cdn.net/125/Filmster_125_DE_Video-1.mp4;https://filmster.b-cdn.net/125/Filmster_125_EN_Video-1.mp4;;https://filmster.b-cdn.net/125/Filmster_125_EN_Video-2.mp4;;https://filmster.b-cdn.net/125/Filmster_125_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_125_QR.png
126;Star Wars: Episode IV , A New Hope;Krieg der Sterne;1977;George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness;USA;Ja;8,6;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$775,398,007;https://www.youtube.com/watch?v=vZ734NWnAHA;https://www.youtube.com/watch?v=JoaIHn0CNb8;filmster://result?id=126;https://filmster.b-cdn.net/126/Filmster_126_DE_Video-1.mp4;https://filmster.b-cdn.net/126/Filmster_126_EN_Video-1.mp4;https://filmster.b-cdn.net/126/Filmster_126_DE_Video-2.mp4;;https://filmster.b-cdn.net/126/Filmster_126_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_126_QR.png
127;Star Wars: Episode V , The Empire Strikes Back;Das Imperium schlägt zurück;1980;Irvin Kershner;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels;USA;Ja;8,7;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$538,400,000;https://www.youtube.com/watch?v=JNwNXF9Y6kY;https://www.youtube.com/watch?v=qOV61eL9XDE;filmster://result?id=127;https://filmster.b-cdn.net/127/Filmster_127_DE_Video-1.mp4;https://filmster.b-cdn.net/127/Filmster_127_EN_Video-1.mp4;https://filmster.b-cdn.net/127/Filmster_127_DE_Video-2.mp4;https://filmster.b-cdn.net/127/Filmster_127_EN_Video-2.mp4;;https://filmster.b-cdn.net/127/Filmster_127_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_127_QR.png
128;Star Wars: Episode VI , Return of the Jedi;Die Rückkehr der Jedi-Ritter;1983;Richard Marquand;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels;USA;Ja;8,3;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$572,700,000;https://www.youtube.com/watch?v=p4vIFhk621Q;https://www.youtube.com/watch?v=i_HU02Om5VE;filmster://result?id=128;https://filmster.b-cdn.net/128/Filmster_128_DE_Video-1.mp4;https://filmster.b-cdn.net/128/Filmster_128_EN_Video-1.mp4;;https://filmster.b-cdn.net/128/Filmster_128_EN_Video-2.mp4;;https://filmster.b-cdn.net/128/Filmster_128_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_128_QR.png
129;Star Wars: Episode VIII , The Last Jedi;Star Wars: Die letzten Jedi;2017;Rian Johnson;Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega;USA;Nein;6,9;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$1,332,698,830;https://www.youtube.com/watch?v=Q0CbN8sfihY;https://www.youtube.com/watch?v=cKjfEGvZrBQ;filmster://result?id=129;https://filmster.b-cdn.net/129/Filmster_129_DE_Video-1.mp4;https://filmster.b-cdn.net/129/Filmster_129_EN_Video-1.mp4;https://filmster.b-cdn.net/129/Filmster_129_DE_Video-2.mp4;https://filmster.b-cdn.net/129/Filmster_129_EN_Video-2.mp4;https://filmster.b-cdn.net/129/Filmster_129_DE_Video-3.mp4;https://filmster.b-cdn.net/129/Filmster_129_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_129_QR.png
130;Batman Begins;Batman Begins;2005;Christopher Nolan;Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman;USA, UK;Ja;8,2;Warner Bros. Pictures;Drama, Krimi, Action;$374,218,673;https://www.youtube.com/watch?v=neY2xVmOfUM;https://www.youtube.com/watch?v=55AUfim4H8E;filmster://result?id=130;https://filmster.b-cdn.net/130/Filmster_130_DE_Video-1.mp4;https://filmster.b-cdn.net/130/Filmster_130_EN_Video-1.mp4;https://filmster.b-cdn.net/130/Filmster_130_DE_Video-2.mp4;https://filmster.b-cdn.net/130/Filmster_130_EN_Video-2.mp4;https://filmster.b-cdn.net/130/Filmster_130_DE_Video-3.mp4;https://filmster.b-cdn.net/130/Filmster_130_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_130_QR.png
131;The Dark Knight Rises;The Dark Knight Rises;2012;Christopher Nolan;Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway;USA, UK;Ja;8,4;Syncopy;Action, Krimi, Drama, Thriller;$1,081,041,287;https://www.youtube.com/watch?v=GokKUqLcvD8;https://www.youtube.com/watch?v=zqpJcle3S_8;filmster://result?id=131;https://filmster.b-cdn.net/131/Filmster_131_DE_Video-1.mp4;https://filmster.b-cdn.net/131/Filmster_131_EN_Video-1.mp4;https://filmster.b-cdn.net/131/Filmster_131_DE_Video-2.mp4;https://filmster.b-cdn.net/131/Filmster_131_EN_Video-2.mp4;https://filmster.b-cdn.net/131/Filmster_131_DE_Video-3.mp4;https://filmster.b-cdn.net/131/Filmster_131_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_131_QR.png
132;Spider-Man: Homecoming;Spider-Man: Homecoming;2017;Jon Watts;Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau;USA;Nein;7,4;Marvel Studios;Action, Abenteuer, Science Fiction, Drama;$880,166,924;https://www.youtube.com/watch?v=rk-dF1lIbIg;https://www.youtube.com/watch?v=2pVpod1qP9s;filmster://result?id=132;https://filmster.b-cdn.net/132/Filmster_132_DE_Video-1.mp4;https://filmster.b-cdn.net/132/Filmster_132_EN_Video-1.mp4;https://filmster.b-cdn.net/132/Filmster_132_DE_Video-2.mp4;https://filmster.b-cdn.net/132/Filmster_132_EN_Video-2.mp4;https://filmster.b-cdn.net/132/Filmster_132_DE_Video-3.mp4;https://filmster.b-cdn.net/132/Filmster_132_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_132_QR.png
133;Spider-Man: Far From Home;Spider-Man: Far From Home;2019;Jon Watts;Tom Holland, Jake Gyllenhaal, Samuel L. Jackson, Marisa Tomei, Jon Favreau;USA, Czech Republic, Australia, Canada, Italy;Nein;7,4;Marvel Studios;Action, Abenteuer, Science Fiction;$1,131,927,996;https://www.youtube.com/watch?v=DYYtuKyMtY8;https://www.youtube.com/watch?v=woLaxZuF7NM;filmster://result?id=133;https://filmster.b-cdn.net/133/Filmster_133_DE_Video-1.mp4;https://filmster.b-cdn.net/133/Filmster_133_EN_Video-1.mp4;https://filmster.b-cdn.net/133/Filmster_133_DE_Video-2.mp4;https://filmster.b-cdn.net/133/Filmster_133_EN_Video-2.mp4;https://filmster.b-cdn.net/133/Filmster_133_DE_Video-3.mp4;https://filmster.b-cdn.net/133/Filmster_133_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_133_QR.png
134;Harry Potter and the Chamber of Secrets;Harry Potter und die Kammer des Schreckens;2002;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh, Toby Jones;UK, USA;Nein;7,4;Warner Bros. Pictures;Abenteuer, Fantasy;$876,688,482;https://www.youtube.com/watch?v=jBltxS8HfQ4;https://www.youtube.com/watch?v=kDTmiTTFvH8;filmster://result?id=134;https://filmster.b-cdn.net/134/Filmster_134_DE_Video-1.mp4;https://filmster.b-cdn.net/134/Filmster_134_EN_Video-1.mp4;https://filmster.b-cdn.net/134/Filmster_134_DE_Video-2.mp4;https://filmster.b-cdn.net/134/Filmster_134_EN_Video-2.mp4;https://filmster.b-cdn.net/134/Filmster_134_DE_Video-3.mp4;https://filmster.b-cdn.net/134/Filmster_134_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_134_QR.png
135;Harry Potter and the Prisoner of Azkaban;Harry Potter und der Gefangene von Askaban;2004;Alfonso Cuarón;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon;UK, USA;Nein;7,9;Warner Bros. Pictures;Abenteuer, Fantasy;$789,804,554;https://www.youtube.com/watch?v=VwErvYgoH70;https://www.youtube.com/watch?v=96W4e_pZJmw;filmster://result?id=135;https://filmster.b-cdn.net/135/Filmster_135_DE_Video-1.mp4;https://filmster.b-cdn.net/135/Filmster_135_EN_Video-1.mp4;https://filmster.b-cdn.net/135/Filmster_135_DE_Video-2.mp4;https://filmster.b-cdn.net/135/Filmster_135_EN_Video-2.mp4;;https://filmster.b-cdn.net/135/Filmster_135_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_135_QR.png
136;Harry Potter and the Goblet of Fire;Harry Potter und der Feuerkelch;2005;Mike Newell;Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon;UK, USA;Nein;7,7;Warner Bros. Pictures;Abenteuer, Fantasy;$895,921,036;https://www.youtube.com/watch?v=3EGojp4Hh6I;https://www.youtube.com/watch?v=kSjCE2ApyYY;filmster://result?id=136;https://filmster.b-cdn.net/136/Filmster_136_DE_Video-1.mp4;https://filmster.b-cdn.net/136/Filmster_136_EN_Video-1.mp4;https://filmster.b-cdn.net/136/Filmster_136_DE_Video-2.mp4;https://filmster.b-cdn.net/136/Filmster_136_EN_Video-2.mp4;https://filmster.b-cdn.net/136/Filmster_136_DE_Video-3.mp4;https://filmster.b-cdn.net/136/Filmster_136_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_136_QR.png
137;Harry Potter and the Order of the Phoenix;Harry Potter und der Orden des Phönix;2007;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Imelda Staunton, Helena Bonham Carter;UK, USA;Nein;7,5;Warner Bros. Pictures;Abenteuer, Fantasy;$938,212,738;https://www.youtube.com/watch?v=y6ZW7KXaXYk;https://www.youtube.com/watch?v=z5ViKFcSXe0;filmster://result?id=137;https://filmster.b-cdn.net/137/Filmster_137_DE_Video-1.mp4;https://filmster.b-cdn.net/137/Filmster_137_EN_Video-1.mp4;https://filmster.b-cdn.net/137/Filmster_137_DE_Video-2.mp4;https://filmster.b-cdn.net/137/Filmster_137_EN_Video-2.mp4;https://filmster.b-cdn.net/137/Filmster_137_DE_Video-3.mp4;https://filmster.b-cdn.net/137/Filmster_137_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_137_QR.png
138;Harry Potter and the Half-Blood Prince;Harry Potter und der Halbblutprinz;2009;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Jim Broadbent, Michael Gambon;UK, USA;Nein;7,6;Warner Bros. Pictures;Abenteuer, Fantasy;$933,959,197;https://www.youtube.com/watch?v=sg81Lts5kYY;https://www.youtube.com/watch?v=h9dmzYm0Ol0;filmster://result?id=138;https://filmster.b-cdn.net/138/Filmster_138_DE_Video-1.mp4;https://filmster.b-cdn.net/138/Filmster_138_EN_Video-1.mp4;https://filmster.b-cdn.net/138/Filmster_138_DE_Video-2.mp4;https://filmster.b-cdn.net/138/Filmster_138_EN_Video-2.mp4;https://filmster.b-cdn.net/138/Filmster_138_DE_Video-3.mp4;https://filmster.b-cdn.net/138/Filmster_138_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_138_QR.png
139;Harry Potter and the Deathly Hallows , Part 1;Harry Potter und die Heiligtümer des Todes - Teil 1;2010;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter;UK, USA;Nein;7,7;Warner Bros. Pictures;Abenteuer, Fantasy;$954,305,868;https://www.youtube.com/watch?v=MxqsmsA8y5k;https://www.youtube.com/watch?v=TlfweZUgCQs;filmster://result?id=139;https://filmster.b-cdn.net/139/Filmster_139_DE_Video-1.mp4;https://filmster.b-cdn.net/139/Filmster_139_EN_Video-1.mp4;https://filmster.b-cdn.net/139/Filmster_139_DE_Video-2.mp4;https://filmster.b-cdn.net/139/Filmster_139_EN_Video-2.mp4;https://filmster.b-cdn.net/139/Filmster_139_DE_Video-3.mp4;https://filmster.b-cdn.net/139/Filmster_139_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_139_QR.png
140;Harry Potter and the Deathly Hallows , Part 2;Harry Potter und die Heiligtümer des Todes - Teil 2;2011;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman;UK, USA;Ja;8,1;Warner Bros. Pictures;Fantasy, Abenteuer;$1,341,511,219;https://www.youtube.com/watch?v=mObK5XD8udk;https://www.youtube.com/watch?v=dVgxek8oOnQ;filmster://result?id=140;https://filmster.b-cdn.net/140/Filmster_140_DE_Video-1.mp4;https://filmster.b-cdn.net/140/Filmster_140_EN_Video-1.mp4;https://filmster.b-cdn.net/140/Filmster_140_DE_Video-2.mp4;https://filmster.b-cdn.net/140/Filmster_140_EN_Video-2.mp4;https://filmster.b-cdn.net/140/Filmster_140_DE_Video-3.mp4;https://filmster.b-cdn.net/140/Filmster_140_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_140_QR.png
